<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94200,191.78,191.78,191.0,191.4,439
20200804,94300,191.55,191.55,190.9,191.0,587
20200804,94400,191.0,191.24,190.91,191.0,226
20200804,94500,190.64,190.94,190.0,190.03,336
20200804,94600,190.04,190.04,189.5,189.9,500
20200804,94700,189.85,190.1,189.8,189.85,278
20200804,94800,189.81,190.57,189.81,190.23,294
20200804,94900,190.31,190.48,190.03,190.44,193
20200804,95000,190.38,190.45,190.14,190.39,106
20200804,95100,190.2,190.6,190.2,190.44,849
20200804,95200,190.25,190.42,190.23,190.25,239
20200804,95300,190.21,190.8,190.21,190.8,273
20200804,95400,190.81,191.27,190.42,190.6,442
20200804,95500,190.6,190.62,190.15,190.59,143
20200804,95600,190.6,190.89,190.6,190.83,98
20200804,95700,190.84,190.89,190.6,190.89,182
20200804,95800,190.86,190.86,190.54,190.85,340
20200804,95900,190.54,190.54,190.16,190.32,107
20200804,100000,190.33,190.56,190.22,190.56,107
20200804,100100,190.34,190.54,190.17,190.27,334
20200804,100200,190.26,190.26,189.5,189.5,759
20200804,100300,189.48,189.69,189.44,189.44,828
20200804,100400,189.48,189.48,188.85,188.85,537
20200804,100500,188.73,188.96,188.54,188.54,271
20200804,100600,188.5,188.5,187.81,187.96,466
20200804,100700,187.98,187.98,187.66,187.91,296
20200804,100800,187.81,187.81,187.5,187.5,308
20200804,100900,187.4,187.44,187.08,187.08,458
20200804,101000,187.11,187.29,187.11,187.12,267
20200804,101100,187.1,187.56,187.01,187.01,567
20200804,101200,187.02,187.03,186.56,186.56,550
20200804,101300,186.6,187.27,186.56,187.15,1131
20200804,101400,187.24,187.3,186.57,186.63,1010
20200804,101500,186.78,186.78,185.97,185.97,882
20200804,101600,185.98,185.98,185.39,185.39,392
20200804,101700,185.36,185.36,185.05,185.12,307
20200804,101800,185.13,185.13,184.53,184.59,576
20200804,101900,184.55,184.71,184.21,184.71,788
20200804,102000,184.71,184.87,184.23,184.5,550
20200804,102100,184.4,184.52,184.02,184.04,331
20200804,102200,184.05,184.55,184.04,184.52,995
20200804,102300,184.55,184.7,184.49,184.69,562
20200804,102400,184.69,185.37,184.65,185.05,813
20200804,102500,185.0,186.01,185.0,185.3,1482
20200804,102600,185.43,185.43,185.13,185.16,418
20200804,102700,185.15,185.52,185.0,185.48,1319
20200804,102800,185.3,185.52,185.3,185.5,1518
20200804,102900,185.44,185.5,185.3,185.43,689
20200804,103000,185.44,185.86,185.34,185.64,454
20200804,103100,185.65,185.7,185.53,185.69,414
20200804,103200,185.7,185.8,185.51,185.6,417
20200804,103300,185.6,185.6,185.41,185.41,762
20200804,103400,185.33,185.49,185.33,185.34,1294
20200804,103500,185.4,185.5,185.34,185.49,487
20200804,103600,185.5,185.5,185.37,185.37,531
20200804,103700,185.38,185.5,185.26,185.26,1270
20200804,103800,185.22,185.25,185.1,185.21,323
20200804,103900,185.21,185.3,185.21,185.24,933
20200804,104000,185.31,185.52,185.28,185.49,368
20200804,104100,185.43,185.95,185.43,185.88,551
20200804,104200,185.85,186.2,185.85,186.2,605
20200804,104300,186.01,186.05,186.0,186.05,868
20200804,104400,186.05,186.18,186.04,186.1,227
20200804,104500,186.04,186.04,185.87,186.0,737
20200804,104600,186.0,186.0,185.8,185.87,199
20200804,104700,185.86,185.87,185.8,185.84,355
20200804,104800,185.8,185.84,185.8,185.84,179
20200804,104900,185.84,185.84,185.71,185.71,1059
20200804,105000,185.7,185.7,185.52,185.68,548
20200804,105100,185.66,185.94,185.66,185.78,804
20200804,105200,185.8,186.19,185.8,185.93,608
20200804,105300,185.93,186.11,185.86,186.0,259
20200804,105400,186.0,186.36,185.91,186.3,233
20200804,105500,186.34,186.34,186.17,186.3,33
20200804,105600,186.3,186.6,186.29,186.5,218
20200804,105700,186.5,186.9,186.5,186.61,290
20200804,105800,186.89,186.89,186.5,186.5,522
20200804,105900,186.5,186.5,186.25,186.25,189
20200804,110000,186.49,186.78,186.27,186.78,197
20200804,110100,186.77,186.78,186.65,186.65,79
20200804,110200,186.65,186.72,186.31,186.31,185
20200804,110300,186.53,186.53,186.21,186.27,886
20200804,110400,186.21,186.24,186.01,186.2,189
20200804,110500,186.14,186.24,186.04,186.04,22
20200804,110600,186.05,186.25,186.05,186.25,87
20200804,110700,186.27,186.29,186.15,186.18,84
20200804,110800,186.15,186.34,186.07,186.23,41
20200804,110900,186.3,186.31,186.3,186.31,14
20200804,111000,186.14,186.55,186.14,186.55,105
20200804,111100,186.53,186.64,186.45,186.46,222
20200804,111200,186.45,186.45,186.3,186.3,8
20200804,111300,186.28,186.28,186.2,186.21,589
20200804,111400,186.2,186.43,186.2,186.2,170
20200804,111500,186.33,186.41,186.21,186.22,104
20200804,111600,186.35,186.35,186.11,186.11,633
20200804,111700,186.1,186.2,186.07,186.11,128
20200804,111800,186.1,186.1,185.65,185.65,119
20200804,111900,185.77,186.0,185.52,185.8,77
20200804,112000,185.81,186.14,185.71,186.14,236
20200804,112100,186.07,186.35,186.07,186.35,45
20200804,112200,186.45,186.57,186.0,186.11,306
20200804,112300,186.16,186.47,186.16,186.4,69
20200804,112400,186.46,186.59,186.37,186.57,135
20200804,112500,186.57,186.57,186.44,186.45,180
20200804,112600,186.38,186.38,186.18,186.27,223
20200804,112700,186.45,186.45,186.2,186.2,23
